#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
738280213 ; 0.00131193 ; 3.30498 ; 0 ; 0
738280373 ; 0.000850356 ; 3.30498 ; 0 ; 0
738280533 ; 0.00114409 ; 3.30498 ; 0 ; 0
738280693 ; 0.00121275 ; 3.30498 ; 0 ; 0
738280853 ; 0.000671065 ; 3.30498 ; 0 ; 0
738281013 ; 0.000968611 ; 3.30498 ; 0 ; 0
738281173 ; 0.00161711 ; 3.30498 ; 0 ; 0
738281333 ; 0.00149504 ; 3.30498 ; 0 ; 0
738281493 ; 0.00111357 ; 3.30498 ; 0 ; 0
738281653 ; 0.0011479 ; 3.30498 ; 0 ; 0
738281813 ; 0.0010182 ; 3.30498 ; 0 ; 0
738281973 ; 0.000987685 ; 3.30498 ; 0 ; 0
738282133 ; 0.00104109 ; 3.30498 ; 0 ; 0
738282293 ; 0.00126234 ; 3.30498 ; 0 ; 0
738282453 ; 0.000960982 ; 3.30498 ; 0 ; 0
738282613 ; 0.000583327 ; 3.30498 ; 0 ; 0
738282773 ; 0.0010945 ; 3.30498 ; 0 ; 0
738282933 ; 0.00115935 ; 3.30498 ; 0 ; 0
738283093 ; 0.000987685 ; 3.30498 ; 0 ; 0
738283253 ; 0.00132338 ; 3.30498 ; 0 ; 0
738283413 ; 0.00110213 ; 3.30498 ; 0 ; 0
738283573 ; 0.000800765 ; 3.30498 ; 0 ; 0
738283733 ; 0.00107161 ; 3.30498 ; 0 ; 0
738283893 ; 0.00109831 ; 3.30498 ; 0 ; 0
738284053 ; 0.000972426 ; 3.30498 ; 0 ; 0
738284213 ; 0.000972426 ; 3.30498 ; 0 ; 0
738284373 ; 0.00149122 ; 3.30498 ; 0 ; 0
738284533 ; 0.0012509 ; 3.30498 ; 0 ; 0
738284693 ; 0.00160567 ; 3.30498 ; 0 ; 0
738284853 ; 0.00110594 ; 3.30498 ; 0 ; 0
738285013 ; 0.00117842 ; 3.30498 ; 0 ; 0
738285173 ; 0.00118986 ; 3.30498 ; 0 ; 0
738285333 ; 0.00120512 ; 3.30498 ; 0 ; 0
738285493 ; 0.00138823 ; 3.30498 ; 0 ; 0
738285653 ; 0.00135771 ; 3.30498 ; 0 ; 0
738285813 ; 0.00165907 ; 3.30498 ; 0 ; 0
738285973 ; 0.0014836 ; 3.30498 ; 0 ; 0
738286133 ; 0.00129286 ; 3.30498 ; 0 ; 0
738286293 ; 0.00149885 ; 3.30498 ; 0 ; 0
738286453 ; 0.00109068 ; 3.30498 ; 0 ; 0
738286613 ; 0.000972426 ; 3.30498 ; 0 ; 0
738286773 ; 0.000972426 ; 3.30498 ; 0 ; 0
738286933 ; 0.00113646 ; 3.30498 ; 0 ; 0
738287093 ; 0.00146834 ; 3.30498 ; 0 ; 0
738287253 ; 0.00154845 ; 3.30498 ; 0 ; 0
738287413 ; 0.00155226 ; 3.30498 ; 0 ; 0
738287573 ; 0.00154082 ; 3.30498 ; 0 ; 0
738287733 ; 0.00125853 ; 3.30498 ; 0 ; 0
738287893 ; 0.00109068 ; 3.30498 ; 0 ; 0
738288053 ; 0.0009915 ; 3.30498 ; 0 ; 0
738288213 ; 0.00126616 ; 3.30498 ; 0 ; 0
738288373 ; 0.00102202 ; 3.30498 ; 0 ; 0
738288533 ; 0.000964797 ; 3.30498 ; 0 ; 0
738288693 ; 0.00141493 ; 3.30498 ; 0 ; 0
738288853 ; 0.00142256 ; 3.30498 ; 0 ; 0
738289013 ; 0.00117079 ; 3.30498 ; 0 ; 0
738289173 ; 0.000884688 ; 3.30498 ; 0 ; 0
738289333 ; 0.00079695 ; 3.30498 ; 0 ; 0
738289493 ; 0.00137297 ; 3.30498 ; 0 ; 0
738289653 ; 0.00120131 ; 3.30498 ; 0 ; 0
738289813 ; 0.000846541 ; 3.30498 ; 0 ; 0
738289973 ; 0.00104491 ; 3.30498 ; 0 ; 0
738290133 ; 0.00105635 ; 3.30498 ; 0 ; 0
