#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
980271893 ; 0.000678694 ; 3.30551 ; 0 ; 0
980272053 ; 0.00054518 ; 3.30551 ; 0 ; 0
980272213 ; 0.000396407 ; 3.30551 ; 0 ; 0
980272373 ; 0.000281966 ; 3.30551 ; 0 ; 0
980272533 ; 0.000644362 ; 3.30551 ; 0 ; 0
980272693 ; 0.000846541 ; 3.30551 ; 0 ; 0
980272853 ; 0.0010182 ; 3.30551 ; 0 ; 0
980273013 ; 0.00141493 ; 3.30551 ; 0 ; 0
980273173 ; 0.00123564 ; 3.30551 ; 0 ; 0
980273333 ; 0.00124708 ; 3.30551 ; 0 ; 0
980273493 ; 0.00147215 ; 3.30551 ; 0 ; 0
980273653 ; 0.00176207 ; 3.30551 ; 0 ; 0
980273813 ; 0.00238386 ; 3.30551 ; 0 ; 0
980273973 ; 0.00210158 ; 3.30551 ; 0 ; 0
980274133 ; 0.00133482 ; 3.30551 ; 0 ; 0
980274293 ; 0.00160948 ; 3.30551 ; 0 ; 0
980274453 ; 0.00155226 ; 3.30551 ; 0 ; 0
980274613 ; 0.00121275 ; 3.30551 ; 0 ; 0
980274773 ; 0.00108687 ; 3.30551 ; 0 ; 0
980274933 ; 0.000816023 ; 3.30551 ; 0 ; 0
980275093 ; 0.00104872 ; 3.30551 ; 0 ; 0
980275253 ; 0.000655806 ; 3.30551 ; 0 ; 0
980275413 ; 0.000617659 ; 3.30551 ; 0 ; 0
980275573 ; 0.000526106 ; 3.30551 ; 0 ; 0
980275733 ; 0.000701583 ; 3.30551 ; 0 ; 0
980275893 ; 0.000911391 ; 3.30551 ; 0 ; 0
980276053 ; 0.000953353 ; 3.30551 ; 0 ; 0
980276213 ; 0.000980055 ; 3.30551 ; 0 ; 0
980276373 ; 0.00128905 ; 3.30551 ; 0 ; 0
980276533 ; 0.00160948 ; 3.30551 ; 0 ; 0
980276693 ; 0.00155226 ; 3.30551 ; 0 ; 0
980276853 ; 0.00104491 ; 3.30551 ; 0 ; 0
980277013 ; 0.0016667 ; 3.30551 ; 0 ; 0
