#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1076364053 ; 2.12768 ; 3.30444 ; 0 ; 0
1076364213 ; 2.13134 ; 3.30444 ; 0 ; 0
1076364373 ; 2.14229 ; 3.30444 ; 0 ; 0
1076364533 ; 2.15447 ; 3.30444 ; 0 ; 0
1076364693 ; 2.16056 ; 3.30444 ; 0 ; 0
1076364853 ; 2.13255 ; 3.30444 ; 0 ; 0
1076365013 ; 2.09725 ; 3.30444 ; 0 ; 0
1076365173 ; 2.11064 ; 3.30444 ; 0 ; 0
1076365333 ; 2.14229 ; 3.30444 ; 0 ; 0
1076365493 ; 2.13864 ; 3.30444 ; 0 ; 0
1076365653 ; 2.1216 ; 3.30444 ; 0 ; 0
1076365813 ; 2.13012 ; 3.30444 ; 0 ; 0
1076365973 ; 2.12403 ; 3.30444 ; 0 ; 0
1076366133 ; 2.11307 ; 3.30444 ; 0 ; 0
1076366293 ; 2.13621 ; 3.30444 ; 0 ; 0
1076366453 ; 2.14108 ; 3.30444 ; 0 ; 0
1076366613 ; 2.1082 ; 3.30444 ; 0 ; 0
1076366773 ; 2.13012 ; 3.30444 ; 0 ; 0
1076366933 ; 2.14838 ; 3.30444 ; 0 ; 0
1076367093 ; 2.13986 ; 3.30444 ; 0 ; 0
1076367253 ; 2.13864 ; 3.30444 ; 0 ; 0
1076367413 ; 2.14595 ; 3.30444 ; 0 ; 0
1076367573 ; 2.17029 ; 3.30444 ; 0 ; 0
1076367733 ; 2.11307 ; 3.30444 ; 0 ; 0
1076367893 ; 2.14473 ; 3.30444 ; 0 ; 0
1076368053 ; 2.14108 ; 3.30444 ; 0 ; 0
1076368213 ; 2.13742 ; 3.30444 ; 0 ; 0
1076368373 ; 2.11186 ; 3.30444 ; 0 ; 0
1076368533 ; 2.11064 ; 3.30444 ; 0 ; 0
1076368693 ; 2.14838 ; 3.30444 ; 0 ; 0
1076368853 ; 2.14108 ; 3.30444 ; 0 ; 0
1076369013 ; 2.11429 ; 3.30444 ; 0 ; 0
1076369173 ; 2.13986 ; 3.30444 ; 0 ; 0
1076369333 ; 2.09846 ; 3.30444 ; 0 ; 0
1076369493 ; 2.15203 ; 3.30444 ; 0 ; 0
1076369653 ; 2.13134 ; 3.30444 ; 0 ; 0
1076369813 ; 2.13864 ; 3.30444 ; 0 ; 0
1076369973 ; 2.13255 ; 3.30444 ; 0 ; 0
1076370133 ; 2.10212 ; 3.30444 ; 0 ; 0
1076370293 ; 2.1216 ; 3.30444 ; 0 ; 0
1076370453 ; 2.1216 ; 3.30444 ; 0 ; 0
1076370613 ; 2.1216 ; 3.30444 ; 0 ; 0
1076370773 ; 2.13499 ; 3.30444 ; 0 ; 0
1076370933 ; 2.1009 ; 3.30444 ; 0 ; 0
1076371093 ; 2.14716 ; 3.30444 ; 0 ; 0
1076371253 ; 2.11307 ; 3.30444 ; 0 ; 0
1076371413 ; 2.13621 ; 3.30444 ; 0 ; 0
1076371573 ; 2.12038 ; 3.30444 ; 0 ; 0
1076371733 ; 2.12525 ; 3.30444 ; 0 ; 0
1076371893 ; 2.14595 ; 3.30444 ; 0 ; 0
1076372053 ; 2.16421 ; 3.30444 ; 0 ; 0
1076372213 ; 2.13499 ; 3.30444 ; 0 ; 0
1076372373 ; 2.15569 ; 3.30444 ; 0 ; 0
1076372533 ; 2.11916 ; 3.30444 ; 0 ; 0
1076372693 ; 2.11307 ; 3.30444 ; 0 ; 0
1076372853 ; 2.13864 ; 3.30444 ; 0 ; 0
1076373013 ; 2.14229 ; 3.30444 ; 0 ; 0
1076373173 ; 2.1289 ; 3.30444 ; 0 ; 0
1076373333 ; 2.11307 ; 3.30444 ; 0 ; 0
1076373493 ; 2.16786 ; 3.30444 ; 0 ; 0
1076373653 ; 2.13499 ; 3.30444 ; 0 ; 0
1076373813 ; 2.16177 ; 3.30444 ; 0 ; 0
1076373973 ; 2.10333 ; 3.30444 ; 0 ; 0
1076374133 ; 2.10577 ; 3.30444 ; 0 ; 0
1076374293 ; 2.15082 ; 3.30444 ; 0 ; 0
1076374453 ; 2.11551 ; 3.30444 ; 0 ; 0
1076374613 ; 2.14108 ; 3.30444 ; 0 ; 0
1076374773 ; 2.13864 ; 3.30444 ; 0 ; 0
1076374933 ; 2.11673 ; 3.30444 ; 0 ; 0
1076375093 ; 2.12647 ; 3.30444 ; 0 ; 0
1076375253 ; 2.15447 ; 3.30444 ; 0 ; 0
1076375413 ; 2.12768 ; 3.30444 ; 0 ; 0
1076375573 ; 2.0936 ; 3.30444 ; 0 ; 0
1076375733 ; 2.12768 ; 3.30444 ; 0 ; 0
