#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3287000853 ; 2.06438 ; 3.30452 ; 0 ; 0
3287001013 ; 2.08264 ; 3.30452 ; 0 ; 0
3287001173 ; 2.07412 ; 3.30452 ; 0 ; 0
3287001333 ; 2.0522 ; 3.30452 ; 0 ; 0
3287001493 ; 2.06438 ; 3.30452 ; 0 ; 0
3287001653 ; 2.06316 ; 3.30452 ; 0 ; 0
3287001813 ; 2.06925 ; 3.30452 ; 0 ; 0
3287001973 ; 2.08751 ; 3.30452 ; 0 ; 0
3287002133 ; 2.09603 ; 3.30452 ; 0 ; 0
3287002293 ; 2.06559 ; 3.30452 ; 0 ; 0
3287002453 ; 2.07777 ; 3.30452 ; 0 ; 0
3287002613 ; 2.04977 ; 3.30452 ; 0 ; 0
3287002773 ; 2.03637 ; 3.30452 ; 0 ; 0
3287002933 ; 2.05951 ; 3.30452 ; 0 ; 0
3287003093 ; 2.05951 ; 3.30452 ; 0 ; 0
3287003253 ; 2.08873 ; 3.30452 ; 0 ; 0
3287003413 ; 2.0729 ; 3.30452 ; 0 ; 0
3287003573 ; 2.09481 ; 3.30452 ; 0 ; 0
3287003733 ; 2.04246 ; 3.30452 ; 0 ; 0
3287003893 ; 2.04611 ; 3.30452 ; 0 ; 0
3287004053 ; 2.06316 ; 3.30452 ; 0 ; 0
3287004213 ; 2.04611 ; 3.30452 ; 0 ; 0
3287004373 ; 2.0729 ; 3.30452 ; 0 ; 0
3287004533 ; 2.06072 ; 3.30452 ; 0 ; 0
3287004693 ; 2.05585 ; 3.30452 ; 0 ; 0
3287004853 ; 2.07533 ; 3.30452 ; 0 ; 0
3287005013 ; 2.06072 ; 3.30452 ; 0 ; 0
3287005173 ; 2.03272 ; 3.30452 ; 0 ; 0
3287005333 ; 2.04003 ; 3.30452 ; 0 ; 0
3287005493 ; 2.03637 ; 3.30452 ; 0 ; 0
3287005653 ; 2.04977 ; 3.30452 ; 0 ; 0
3287005813 ; 2.07412 ; 3.30452 ; 0 ; 0
3287005973 ; 2.1082 ; 3.30452 ; 0 ; 0
3287006133 ; 2.07533 ; 3.30452 ; 0 ; 0
3287006293 ; 2.05464 ; 3.30452 ; 0 ; 0
3287006453 ; 2.06925 ; 3.30452 ; 0 ; 0
3287006613 ; 2.07533 ; 3.30452 ; 0 ; 0
3287006773 ; 2.03029 ; 3.30452 ; 0 ; 0
3287006933 ; 2.05707 ; 3.30452 ; 0 ; 0
3287007093 ; 2.06925 ; 3.30452 ; 0 ; 0
3287007253 ; 2.08264 ; 3.30452 ; 0 ; 0
3287007413 ; 2.06316 ; 3.30452 ; 0 ; 0
3287007573 ; 2.0729 ; 3.30452 ; 0 ; 0
3287007733 ; 2.04003 ; 3.30452 ; 0 ; 0
3287007893 ; 2.0522 ; 3.30452 ; 0 ; 0
3287008053 ; 2.0522 ; 3.30452 ; 0 ; 0
3287008213 ; 2.0802 ; 3.30452 ; 0 ; 0
3287008373 ; 2.06925 ; 3.30452 ; 0 ; 0
3287008533 ; 2.09968 ; 3.30452 ; 0 ; 0
3287008693 ; 2.04611 ; 3.30452 ; 0 ; 0
3287008853 ; 2.0522 ; 3.30452 ; 0 ; 0
3287009013 ; 2.02907 ; 3.30452 ; 0 ; 0
3287009173 ; 2.06072 ; 3.30452 ; 0 ; 0
3287009333 ; 2.03394 ; 3.30452 ; 0 ; 0
3287009493 ; 2.05098 ; 3.30452 ; 0 ; 0
3287009653 ; 2.08629 ; 3.30452 ; 0 ; 0
3287009813 ; 2.05707 ; 3.30452 ; 0 ; 0
3287009973 ; 2.06681 ; 3.30452 ; 0 ; 0
3287010133 ; 2.06194 ; 3.30452 ; 0 ; 0
3287010293 ; 2.0449 ; 3.30452 ; 0 ; 0
3287010453 ; 2.0449 ; 3.30452 ; 0 ; 0
3287010613 ; 2.0242 ; 3.30452 ; 0 ; 0
3287010773 ; 2.08994 ; 3.30452 ; 0 ; 0
3287010933 ; 2.07899 ; 3.30452 ; 0 ; 0
3287011093 ; 2.0522 ; 3.30452 ; 0 ; 0
3287011253 ; 2.07899 ; 3.30452 ; 0 ; 0
3287011413 ; 2.05707 ; 3.30452 ; 0 ; 0
3287011573 ; 2.05707 ; 3.30452 ; 0 ; 0
3287011733 ; 2.04611 ; 3.30452 ; 0 ; 0
3287011893 ; 2.05707 ; 3.30452 ; 0 ; 0
3287012053 ; 2.06559 ; 3.30452 ; 0 ; 0
3287012213 ; 2.04611 ; 3.30452 ; 0 ; 0
3287012373 ; 2.09846 ; 3.30452 ; 0 ; 0
3287012533 ; 2.08507 ; 3.30452 ; 0 ; 0
3287012693 ; 2.07655 ; 3.30452 ; 0 ; 0
3287012853 ; 2.04733 ; 3.30452 ; 0 ; 0
3287013013 ; 2.03637 ; 3.30452 ; 0 ; 0
3287013173 ; 2.06438 ; 3.30452 ; 0 ; 0
3287013333 ; 2.0522 ; 3.30452 ; 0 ; 0
3287013493 ; 2.06559 ; 3.30452 ; 0 ; 0
3287013653 ; 2.07046 ; 3.30452 ; 0 ; 0
3287013813 ; 2.06438 ; 3.30452 ; 0 ; 0
3287013973 ; 2.06194 ; 3.30452 ; 0 ; 0
3287014133 ; 2.04733 ; 3.30452 ; 0 ; 0
3287014293 ; 2.02542 ; 3.30452 ; 0 ; 0
3287014453 ; 2.06316 ; 3.30452 ; 0 ; 0
3287014613 ; 2.04246 ; 3.30452 ; 0 ; 0
3287014773 ; 2.05829 ; 3.30452 ; 0 ; 0
3287014933 ; 2.10212 ; 3.30452 ; 0 ; 0
3287015093 ; 2.07412 ; 3.30452 ; 0 ; 0
3287015253 ; 2.06194 ; 3.30452 ; 0 ; 0
3287015413 ; 2.05342 ; 3.30452 ; 0 ; 0
3287015573 ; 2.03759 ; 3.30452 ; 0 ; 0
3287015733 ; 2.0449 ; 3.30452 ; 0 ; 0
3287015893 ; 2.06194 ; 3.30452 ; 0 ; 0
3287016053 ; 2.02907 ; 3.30452 ; 0 ; 0
3287016213 ; 2.07777 ; 3.30452 ; 0 ; 0
3287016373 ; 2.09725 ; 3.30452 ; 0 ; 0
3287016533 ; 2.05829 ; 3.30452 ; 0 ; 0
3287016693 ; 2.05951 ; 3.30452 ; 0 ; 0
3287016853 ; 2.03881 ; 3.30452 ; 0 ; 0
3287017013 ; 2.06194 ; 3.30452 ; 0 ; 0
3287017173 ; 2.02542 ; 3.30452 ; 0 ; 0
3287017333 ; 2.08873 ; 3.30452 ; 0 ; 0
3287017493 ; 2.09238 ; 3.30452 ; 0 ; 0
3287017653 ; 2.10212 ; 3.30452 ; 0 ; 0
3287017813 ; 2.07168 ; 3.30452 ; 0 ; 0
3287017973 ; 2.07046 ; 3.30452 ; 0 ; 0
3287018133 ; 2.05342 ; 3.30452 ; 0 ; 0
3287018293 ; 2.04246 ; 3.30452 ; 0 ; 0
3287018453 ; 2.0729 ; 3.30452 ; 0 ; 0
3287018613 ; 2.07046 ; 3.30452 ; 0 ; 0
3287018773 ; 2.06803 ; 3.30452 ; 0 ; 0
3287018933 ; 2.09725 ; 3.30452 ; 0 ; 0
3287019093 ; 2.06803 ; 3.30452 ; 0 ; 0
3287019253 ; 2.07046 ; 3.30452 ; 0 ; 0
3287019413 ; 2.04855 ; 3.30452 ; 0 ; 0
3287019573 ; 2.06681 ; 3.30452 ; 0 ; 0
3287019733 ; 2.05951 ; 3.30452 ; 0 ; 0
3287019893 ; 2.05707 ; 3.30452 ; 0 ; 0
3287020053 ; 2.08629 ; 3.30452 ; 0 ; 0
